partida,semente,golsCasa,golsFora,empate,goleada,zeroAZero,staminaFinal
1,4200000,1,1,1,0,0,59.709362281784195
2,4207919,2,1,0,0,0,64.56275411019438
3,4215838,4,1,0,1,0,61.38633164892793
4,4223757,2,5,0,1,0,63.421484048060385
5,4231676,0,1,0,0,0,68.61606362360953
6,4239595,1,3,0,0,0,67.98826559589554
7,4247514,0,3,0,1,0,63.515220994244935
8,4255433,0,2,0,0,0,59.64002945802172
9,4263352,0,0,1,0,1,64.65090048706378
10,4271271,1,1,1,0,0,58.800347251005036
11,4279190,1,1,1,0,0,62.070148409016184
12,4287109,2,1,0,0,0,65.62705027723119
13,4295028,1,0,0,0,0,71.06919643667347
14,4302947,1,0,0,0,0,68.70817487720535
15,4310866,1,0,0,0,0,60.431223558546435
16,4318785,3,1,0,0,0,65.71679372495981
17,4326704,2,3,0,0,0,60.57338271936647
18,4334623,5,4,0,0,0,60.035394725655344
19,4342542,1,0,0,0,0,65.34692014782757
20,4350461,0,0,1,0,1,68.95034992585418
21,4358380,0,3,0,1,0,67.9311662725133
22,4366299,0,1,0,0,0,64.98390623082675
23,4374218,0,2,0,0,0,66.41828375946903
24,4382137,3,1,0,0,0,60.496284006081325
25,4390056,1,3,0,0,0,60.96207309722894
26,4397975,2,2,1,0,0,64.98444889926918
27,4405894,0,0,1,0,1,68.84947713115336
28,4413813,3,1,0,0,0,61.25377905193199
29,4421732,1,1,1,0,0,63.09064570003586
30,4429651,3,3,1,0,0,66.533948236804
31,4437570,2,2,1,0,0,59.996734187203266
32,4445489,1,1,1,0,0,66.85682808377585
33,4453408,0,0,1,0,1,61.45384954815229
34,4461327,3,0,0,1,0,68.11664377147895
35,4469246,3,2,0,0,0,65.18460230118328
36,4477165,2,0,0,0,0,61.16150553606255
37,4485084,0,2,0,0,0,62.16570007732542
38,4493003,1,1,1,0,0,63.83665978749392
39,4500922,3,0,0,1,0,61.051422744113495
40,4508841,3,0,0,1,0,68.15883219941321
41,4516760,0,0,1,0,1,66.65535175045169
42,4524679,0,0,1,0,1,68.42290701794398
43,4532598,2,2,1,0,0,66.7819155098321
44,4540517,3,0,0,1,0,60.21020733540525
45,4548436,3,2,0,0,0,54.81267311567297
46,4556355,3,1,0,0,0,64.04364056762647
