sid,team,year,id,name,from,to,source
1,Argélia,1982,s1p3,Merzekane,CB,RB,squad-curated
1,Argélia,1982,s1p11,Dahleb,CB,LW,squad-curated
1,Argélia,1982,s1p14,Bencheikh,CB,LW,squad-curated
1,Argélia,1982,s1p9,Assad,ST,LW,squad-curated
3,Argélia,2010,s3p4,Raïs M'Bolhi,ST,GK,curated
4,Argélia,2014,s4p3,Sofiane Feghouli,ST,CM,cross-edition-consensus
4,Argélia,2014,s4p17,Raïs M'Bolhi,ST,GK,curated
18,Argentina,2018,s18p9,Marcos Rojo,GK,LB,curated
21,Austrália,1974,s21p5,Wilson,CB,LB,curated
22,Austrália,2006,s22p4,Mark Milligan,CB,CM,cross-edition-consensus
25,Austrália,2018,s25p2,Andrew Nabbout,CM,ST,curated
25,Austrália,2018,s25p6,Aziz Behich,CM,CB,cross-edition-consensus
35,Bélgica,1990,s35p17,Franky van der Elst,CM,CB,cross-edition-consensus
36,Bélgica,1994,s36p19,Danny Boffin,CM,ST,cross-edition-consensus
38,Bélgica,2002,s38p1,Eric van Meir,ST,CB,cross-edition-consensus
40,Bélgica,2018,s40p13,Youri Tielemans,CB,CM,cross-edition-consensus
68,Camarões,1994,s68p9,Raymond Kalla,CM,CB,cross-edition-consensus
71,Camarões,2010,s71p2,Joël Matip,CM,CB,curated
78,Chile,2010,s78p0,Alexis Sánchez,ST,LW,curated
78,Chile,2010,s78p15,Gonzalo Jara,ST,CB,curated
79,Chile,2014,s79p0,Alexis Sánchez,ST,LW,curated
79,Chile,2014,s79p8,Gonzalo Jara,ST,CB,curated
83,Colômbia,2014,s83p9,Santiago Arias,CM,RB,curated
83,Colômbia,2014,s83p3,David Ospina,ST,GK,curated
83,Colômbia,2014,s83p11,Carlos Sánchez,ST,RM,curated
84,Colômbia,2018,s84p8,Carlos Sánchez,CDM,RM,curated
85,Colômbia,2022,s85p1,Santiago Arias,CM,RB,curated
86,Colômbia,2026,s86p7,Jefferson Lerma,CB,CDM,curated
90,Costa Rica,2014,s90p6,Randall Brenes,GK,ST,curated
90,Costa Rica,2014,s90p1,Bryan Ruiz,CB,CAM,curated
90,Costa Rica,2014,s90p7,Cristian Gamboa,CB,RB,curated
90,Costa Rica,2014,s90p8,Giancarlo González,CM,CB,curated
90,Costa Rica,2014,s90p9,Joel Campbell,CM,RW,curated
90,Costa Rica,2014,s90p2,Roy Miller,ST,LB,curated
90,Costa Rica,2014,s90p5,Óscar Duarte,ST,CB,curated
90,Costa Rica,2014,s90p10,Yeltsin Tejeda,ST,CDM,curated
90,Costa Rica,2014,s90p13,Johnny Acosta,ST,CB,curated
91,Costa Rica,2018,s91p5,Cristian Gamboa,CB,RB,curated
91,Costa Rica,2018,s91p4,Bryan Ruiz,CB,CAM,curated
91,Costa Rica,2018,s91p6,Giancarlo González,CM,CB,curated
91,Costa Rica,2018,s91p1,Joel Campbell,ST,RW,curated
91,Costa Rica,2018,s91p7,Óscar Duarte,ST,CB,curated
91,Costa Rica,2018,s91p14,Johnny Acosta,ST,CB,curated
92,Costa Rica,2022,s92p8,Bryan Ruiz,CB,CAM,curated
92,Costa Rica,2022,s92p2,Yeltsin Tejeda,ST,CDM,curated
92,Costa Rica,2022,s92p13,Óscar Duarte,ST,CB,curated
92,Costa Rica,2022,s92p0,Joel Campbell,ST,RW,curated
93,Croácia,1998,s93p19,Anthony Serić,GK,LB,curated
94,Croácia,2002,s94p16,Anthony Serić,GK,LB,curated
94,Croácia,2002,s94p22,Ivica Olić,CM,ST,curated
95,Croácia,2006,s95p20,Anthony Serić,CB,LB,curated
95,Croácia,2006,s95p16,Ivica Olić,CM,ST,curated
96,Croácia,2014,s96p7,Dejan Lovren,CM,CB,curated
96,Croácia,2014,s96p11,Ivica Olić,CM,ST,curated
97,Croácia,2018,s97p9,Dejan Lovren,CM,CB,curated
97,Croácia,2018,s97p15,Andrej Kramarić,CM,ST,cross-edition-consensus
98,Croácia,2022,s98p8,Dejan Lovren,CM,CB,curated
101,Tchecoslováquia,1954,s101p9,Pluskal,CM,CB,cross-edition-consensus
110,Dinamarca,2018,s110p3,Martin Braithwaite,CM,ST,curated
110,Dinamarca,2018,s110p9,Andreas Christensen,CM,CB,cross-edition-consensus
115,Inglaterra,1962,s115p1,Armfield,CB,RB,squad-curated
115,Inglaterra,1962,s115p8,Haynes,CB,CAM,squad-curated
115,Inglaterra,1962,s115p5,Wilson,CB,LB,squad-curated
115,Inglaterra,1962,s115p13,Connely,CB,RW,squad-curated
115,Inglaterra,1962,s115p14,Eastham,CB,CM,squad-curated
115,Inglaterra,1962,s115p15,Hodgkinson,CB,GK,squad-curated
115,Inglaterra,1962,s115p17,Hunt,CB,ST,squad-curated
115,Inglaterra,1962,s115p16,Howe,CB,RB,squad-curated
115,Inglaterra,1962,s115p18,Kevan,CB,ST,squad-curated
115,Inglaterra,1962,s115p19,Robson,CB,CM,squad-curated
115,Inglaterra,1962,s115p6,Douglas,CM,RW,squad-curated
115,Inglaterra,1962,s115p10,Peacock,ST,LW,squad-curated
116,Inglaterra,1966,s116p6,Wilson,CB,LB,curated
116,Inglaterra,1966,s116p12,Armfield,CB,RB,curated
124,Inglaterra,2014,s124p4,Ben Foster,CM,GK,curated
124,Inglaterra,2014,s124p13,Luke Shaw,ST,LB,curated
126,Inglaterra,2022,s126p10,Luke Shaw,ST,LB,curated
132,França,1986,s132p20,Wilson,CB,LB,curated
150,Alemanha,1990,s150p10,Thomas Häßler,CM,CB,cross-edition-consensus
150,Alemanha,1990,s150p17,Andreas Möller,CM,CB,cross-edition-consensus
174,Irã,2014,s174p1,Khosro Heydari,CM,RB,curated
174,Irã,2014,s174p10,Ehsan Hajsafi,CM,LB,curated
174,Irã,2014,s174p11,Masoud Shojaei,CM,CAM,curated
175,Irã,2018,s175p4,Vahid Amiri,GK,LM,curated
175,Irã,2018,s175p7,Mehdi Taremi,CB,ST,curated
175,Irã,2018,s175p10,Sardar Azmoun,CB,ST,curated
175,Irã,2018,s175p2,Alireza Jahanbakhsh,CM,RW,curated
175,Irã,2018,s175p0,Masoud Shojaei,CM,CAM,curated
175,Irã,2018,s175p6,Saeid Ezzatollahi,CM,CDM,curated
175,Irã,2018,s175p8,Alireza Biranvand,CM,GK,curated
175,Irã,2018,s175p11,Ramin Rezaeian,CM,RB,curated
175,Irã,2018,s175p13,Ehsan Hajsafi,CM,LB,curated
175,Irã,2018,s175p9,Rouzbeh Cheshmi,ST,CDM,curated
175,Irã,2018,s175p12,Omid Ebrahimi,ST,CDM,curated
176,Irã,2022,s176p17,Ramin Rezaeian,CB,RB,curated
176,Irã,2022,s176p9,Vahid Amiri,CB,LM,curated
176,Irã,2022,s176p10,Ehsan Hajsafi,CM,LB,curated
176,Irã,2022,s176p12,Alireza Jahanbakhsh,ST,RW,curated
177,Irã,2026,s177p17,Ramin Rezaeian,CB,RB,curated
177,Irã,2026,s177p11,Vahid Amiri,CB,LM,curated
177,Irã,2026,s177p10,Ehsan Hajsafi,CM,LB,curated
177,Irã,2026,s177p8,Alireza Jahanbakhsh,ST,RW,curated
192,Japão,1998,s192p4,Yoshikatsu Kawaguchi,ST,GK,curated
196,Japão,2014,s196p13,Maya Yoshida,CM,CB,cross-edition-consensus
197,Japão,2018,s197p10,Maya Yoshida,CM,CB,cross-edition-consensus
197,Japão,2018,s197p16,Gaku Shibasaki,ST,CM,cross-edition-consensus
205,México,1998,s205p12,Oscar Pérez,ST,GK,curated
206,México,2002,s206p5,Oscar Pérez,ST,GK,curated
208,México,2010,s208p3,Francisco Javier Rodríguez,CM,CB,curated
209,México,2014,s209p8,Héctor Herrera,CB,CM,cross-edition-consensus
209,México,2014,s209p10,Francisco Javier Rodríguez,CM,CB,curated
210,México,2018,s210p12,Jesús Gallardo,CM,CB,cross-edition-consensus
217,Marrocos,2018,s217p10,Amine Harit,CB,CM,cross-edition-consensus
217,Marrocos,2018,s217p2,Romain Saïss,CM,CB,cross-edition-consensus
222,Holanda,1990,s222p20,Aron Winter,CM,ST,cross-edition-consensus
225,Holanda,2006,s225p6,Dirk Kuyt,ST,RW,curated
226,Holanda,2010,s226p4,Nigel de Jong,CB,CDM,curated
227,Holanda,2014,s227p6,Daryl Janmaat,GK,RB,curated
227,Holanda,2014,s227p9,Nigel de Jong,CB,CDM,curated
227,Holanda,2014,s227p5,Jeremain Lens,CM,RW,curated
227,Holanda,2014,s227p8,Paul Verhaegh,CM,RB,curated
227,Holanda,2014,s227p12,Daley Blind,CM,LB,curated
227,Holanda,2014,s227p3,Jordy Clasie,ST,CM,curated
227,Holanda,2014,s227p11,Jasper Cillessen,ST,GK,curated
227,Holanda,2014,s227p10,Memphis Depay,ST,LW,curated
227,Holanda,2014,s227p13,Jonathan de Guzmán,ST,CM,curated
227,Holanda,2014,s227p15,Stefan de Vrĳ,ST,CB,cross-edition-consensus
227,Holanda,2014,s227p16,Ron Vlaar,ST,CB,curated
228,Holanda,2022,s228p7,Daley Blind,CM,LB,curated
228,Holanda,2022,s228p3,Memphis Depay,ST,LW,curated
229,Holanda,2026,s229p7,Memphis Depay,ST,LW,curated
230,Nigéria,1994,s230p12,Mutiu Adepoju,ST,CB,cross-edition-consensus
232,Nigéria,2002,s232p16,Joseph Yobo,GK,CB,curated
232,Nigéria,2002,s232p13,Vincent Enyeama,ST,GK,curated
233,Nigéria,2010,s233p8,Joseph Yobo,GK,CB,curated
233,Nigéria,2010,s233p3,Yakubu Aiyegbeni,CM,ST,curated
233,Nigéria,2010,s233p11,Vincent Enyeama,ST,GK,curated
234,Nigéria,2014,s234p11,Joseph Yobo,GK,CB,curated
234,Nigéria,2014,s234p1,Vincent Enyeama,ST,GK,curated
238,Paraguai,1998,s238p16,José Cardozo,CB,ST,cross-edition-consensus
239,Paraguai,2002,s239p17,Roque Santa Cruz,CB,ST,cross-edition-consensus
239,Paraguai,2002,s239p22,Julio César Cáceres,CM,CB,cross-edition-consensus
258,Portugal,2006,s258p20,Ricardo Costa,CB,ST,cross-edition-consensus
259,Portugal,2010,s259p6,Bruno Alves,CM,CB,curated
260,Portugal,2014,s260p7,William Carvalho,CM,CDM,curated
260,Portugal,2014,s260p0,Bruno Alves,CM,CB,curated
261,Portugal,2018,s261p1,William Carvalho,CM,CDM,curated
261,Portugal,2018,s261p2,Raphaël Guerreiro,CM,LB,curated
262,Portugal,2022,s262p10,Raphaël Guerreiro,CM,LB,curated
262,Portugal,2022,s262p18,William Carvalho,CM,CDM,curated
271,Rússia,2014,s271p10,Aleksandr Samedov,CB,RM,curated
271,Rússia,2014,s271p2,Yuriy Zhirkov,CM,LM,curated
271,Rússia,2014,s271p6,Sergey Ignashevich,CM,CB,curated
271,Rússia,2014,s271p3,Igor Akinfeyev,ST,GK,curated
272,Rússia,2018,s272p1,Aleksandr Golovin,GK,CAM,curated
272,Rússia,2018,s272p7,Aleksandr Samedov,CB,RM,curated
272,Rússia,2018,s272p10,Alan Dzagoyev,CB,CAM,curated
272,Rússia,2018,s272p2,Yuriy Zhirkov,CM,LM,curated
272,Rússia,2018,s272p3,Sergey Ignashevich,CM,CB,curated
272,Rússia,2018,s272p8,Igor Smolnikov,CM,RB,curated
272,Rússia,2018,s272p5,Denis Cheryshev,CM,LW,curated
272,Rússia,2018,s272p9,Fyodor Kudryashov,CM,LB,curated
272,Rússia,2018,s272p11,Aleksey Miranchuk,CM,CAM,curated
272,Rússia,2018,s272p0,Mário Fernandes,ST,RB,curated
272,Rússia,2018,s272p6,Roman Zobnin,ST,CM,curated
272,Rússia,2018,s272p12,Igor Akinfeyev,ST,GK,curated
272,Rússia,2018,s272p14,Yuriy Gazinskiy,ST,CDM,curated
272,Rússia,2018,s272p15,Ilya Kutepov,ST,CB,curated
277,Arábia Saudita,2018,s277p4,Osama Hawsawi,GK,CB,squad-curated
277,Arábia Saudita,2018,s277p5,Yasser Al-Musailim,CB,GK,squad-curated
277,Arábia Saudita,2018,s277p1,Yasser Ash-Shahrani,CB,LB,squad-curated
277,Arábia Saudita,2018,s277p7,Hussain Al-Moqahwi,CB,CM,squad-curated
277,Arábia Saudita,2018,s277p10,Abdullah Otaif,CB,CDM,squad-curated
277,Arábia Saudita,2018,s277p2,Salem Ad-Dawsari,CM,LW,squad-curated
277,Arábia Saudita,2018,s277p6,Mohammed Al-Owais,CM,GK,squad-curated
277,Arábia Saudita,2018,s277p8,Omar Hawsawi,CM,CB,squad-curated
277,Arábia Saudita,2018,s277p11,Mohammed As-Sahlawi,CM,ST,squad-curated
277,Arábia Saudita,2018,s277p13,Ali Al-Buleihi,CM,CB,squad-curated
277,Arábia Saudita,2018,s277p0,Salman Al-Faraj,ST,CM,squad-curated
277,Arábia Saudita,2018,s277p3,Hatan Bahbri,ST,RW,squad-curated
277,Arábia Saudita,2018,s277p9,Taisir Al-Jassem,ST,CM,squad-curated
277,Arábia Saudita,2018,s277p12,Moataz Hawsawi,ST,CB,squad-curated
277,Arábia Saudita,2018,s277p14,Fahad Al-Muwaled,ST,RW,squad-curated
277,Arábia Saudita,2018,s277p15,Mohammed Al-Bureik,ST,RB,squad-curated
277,Arábia Saudita,2018,s277p16,Abdullah Al-Mayouf,ST,GK,squad-curated
277,Arábia Saudita,2018,s277p17,Yahya Ash-Shehri,ST,CAM,squad-curated
280,Escócia,1954,s280p18,Wilson,CB,LB,curated
282,Escócia,1978,s282p1,Souness,ST,CM,cross-edition-consensus
289,Coreia do Sul,1986,s289p0,Park Kyung-hoon,CB,RB,squad-curated
289,Coreia do Sul,1986,s289p7,Kim Yong-se,CB,ST,squad-curated
289,Coreia do Sul,1986,s289p8,Cho Kwang-rae,CB,CM,squad-curated
289,Coreia do Sul,1986,s289p10,Park Chang-sun,CB,CAM,squad-curated
289,Coreia do Sul,1986,s289p13,Noh Soo-jin,CB,ST,squad-curated
289,Coreia do Sul,1986,s289p16,Byun Byung-joo,CB,RW,squad-curated
289,Coreia do Sul,1986,s289p20,Tae Lee-ho,CB,CM,squad-curated
289,Coreia do Sul,1986,s289p17,Cho Byung-duk,CB,GK,squad-curated
289,Coreia do Sul,1986,s289p18,Kang Deuk-soo,CB,LM,squad-curated
289,Coreia do Sul,1986,s289p21,Yoo Byung-ok,CB,RB,squad-curated
289,Coreia do Sul,1986,s289p12,Jung-moo,CB,CM,squad-curated
289,Coreia do Sul,1986,s289p14,Kim Jung-nam,CB,CM,squad-curated
289,Coreia do Sul,1986,s289p11,Huh,CB,CM,squad-curated
289,Coreia do Sul,1986,s289p1,Kim Joo-sung,CM,LW,squad-curated
289,Coreia do Sul,1986,s289p4,Cha Bum-keun,CM,ST,squad-curated
289,Coreia do Sul,1986,s289p6,Choi Soon-ho,CM,CF,squad-curated
290,Coreia do Sul,1990,s290p11,Kim Joo-sung,CM,LW,curated
291,Coreia do Sul,1994,s291p16,Kim Joo-sung,CM,LW,curated
291,Coreia do Sul,1994,s291p12,Lee Woon-Jae,ST,GK,curated
294,Coreia do Sul,2010,s294p2,Oh Beom-Seok,CM,RB,curated
302,União Soviética,1986,s302p23,Wilson,CB,LB,curated
314,Espanha,2014,s314p8,Pepe Reina,ST,GK,curated
326,Suécia,2018,s326p2,Ola Toivonen,CM,CF,curated
334,Suíça,2014,s334p10,Fabian Schär,ST,CB,cross-edition-consensus
338,Tunísia,1998,s338p12,Ali Boumnijel,ST,GK,curated
341,Tunísia,2018,s341p5,Yassine Meriah,GK,CB,curated
341,Tunísia,2018,s341p7,Ferjani Sassi,CB,CM,cross-edition-consensus
341,Tunísia,2018,s341p2,Hamdi Nagguez,CM,RB,curated
341,Tunísia,2018,s341p15,Dylan Bronn,CM,CB,cross-edition-consensus
341,Tunísia,2018,s341p4,Wahbi Khazri,ST,CM,cross-edition-consensus
341,Tunísia,2018,s341p14,Naïm Sliti,ST,CM,cross-edition-consensus
341,Tunísia,2018,s341p16,Mouez Hassen,ST,GK,curated
341,Tunísia,2018,s341p17,Ellyes Skhiri,ST,CM,cross-edition-consensus
346,Uruguai,1966,s346p15,Espárrago,CB,CM,cross-edition-consensus
350,Uruguai,2002,s350p8,Diego Forlán,ST,CF,curated
351,Uruguai,2010,s351p12,Martín Cáceres,CM,CB,curated
351,Uruguai,2010,s351p14,Jorge Fucile,CM,RB,curated
351,Uruguai,2010,s351p0,Diego Forlán,ST,CF,curated
351,Uruguai,2010,s351p6,Fernando Muslera,ST,GK,curated
354,Uruguai,2022,s354p2,Guillermo Varela,CB,RB,curated
354,Uruguai,2022,s354p8,Lucas Torreira,CM,CDM,curated
354,Uruguai,2022,s354p18,Giorgian De Arrascaeta,CM,CAM,curated
354,Uruguai,2022,s354p15,Fernando Muslera,ST,GK,curated
355,Uruguai,2026,s355p5,Guillermo Varela,CB,RB,curated
355,Uruguai,2026,s355p9,Lucas Torreira,CM,CDM,curated
355,Uruguai,2026,s355p18,Giorgian De Arrascaeta,CM,CAM,curated
355,Uruguai,2026,s355p16,Fernando Muslera,ST,GK,curated
360,EUA,2006,s360p8,Clint Dempsey,CM,CF,curated
361,EUA,2010,s361p8,Jozy Altidore,GK,ST,squad-curated
361,EUA,2010,s361p2,Jonathan Bornstein,CB,LB,squad-curated
