formacao,jogos,vitorias,empates,delta_gols,delta_xg,delta_chutes,delta_posse
4-3-3,2,0.5,0,0,0,0,0
4-4-2,2,1,0,1.5,-0.28146821409609524,-5,0.16744036828511913
4-2-3-1,2,0,0.5,-0.5,-1.3031903969828746,-7.5,0.07638502740748906
3-5-2,2,0.5,0.5,1,0.18291427777150004,-0.5,0.06732266594101369
5-3-2,2,0.5,0,0,0.607462250391313,2.5,0.0794437788945441
4-3-1-2,2,0,0,-1.5,-0.47661625793292783,-5,0.10782764229530226
4-1-4-1,2,0,0.5,-0.5,-0.6814039024329022,-2.5,-0.07623016807504904
4-3-2-1,2,0,0.5,-1.5,-2.2975982449427486,-13.5,-0.08109986795998017
4-2-2-2,2,0.5,0,0,0.03512990900454188,0.5,-0.0011799942418343756
4-5-1,2,0,0.5,-0.5,0.17452903246364948,-1.5,0.013978149322675965
3-4-3,2,0.5,0,0,-1.4433714641632198,-4,0.023688951713573353
3-4-2-1,2,0.5,0.5,1,-0.5115508657077279,-2,0.15698778894918605
5-2-3,2,0.5,0,0,0.3412817095966949,1.5,0.08988518211785734
5-4-1,2,0,0.5,-0.5,-0.09646003839000912,-2.5,0.5153823493393302
4-2-4,2,0,0.5,-0.5,1.6838283735822084,4.5,-0.031014768984554908
3-1-4-2,2,0.5,0,-1.5,-1.0167488452650364,4.5,-0.10185523567815943
4-1-2-1-2,2,0,0,-1,-0.5191426292971739,-10.5,0.01938769280174585
