index,seed,homeTeam,homeYear,homeFormation,homeStyle,awayTeam,awayYear,awayFormation,awayStyle,completed,steps,minute,homeGoals,awayGoals,auditStatus,goals,shots,onTarget,xg,passes,passOk,corners,fouls,yellow,red,tackles,tackleAttempts,interceptions,dribblesAttempted,dribblesCompleted,crosses,crossesOk,throughBalls,throughOk,offsides,saves,setPieceShots,setPieceGoals,openPlayGoals,penaltyGoals,directFreeKickGoals,crossedFreeKickGoals,cornerGoals,r12StatIdentityErrors,r12LegacyParityErrors,r12TransactionErrors,r12MaxFinalStep,r10MaxStationary,r10MaxOwnedStationary,p04OwnerWithoutContact,p04BoundaryClamps,invalid,outPlayer,outBall,maxBallStep,maxActiveStationary,canonicalOpenPlayGoals,canonicalPenaltyGoals,canonicalDirectFreeKickGoals,canonicalCrossedFreeKickGoals,canonicalCornerGoals
0,870000,Portugal,1966,4-1-4-1,press,Costa Rica,2022,4-3-1-2,park,True,12238,90.34399999999174,2,1,CONSISTENT,3,22,8,2.827059852897543,192,153,7,18,2,0,18,50,13,26,12,14,5,22,11,0,5,3,0,0,0,0,0,0,0,0,0,0.39242266666666864,0.3,0.6666666666666666,0,13,0,0,0,53.424049801932384,0.13333333333333333,2,0,0,0,1
1,877919,Colômbia,1998,5-3-2,direct,Holanda,1994,5-2-3,wings,True,12169,90.24799999999179,1,2,CONSISTENT,3,23,7,3.4025933951648257,183,159,10,14,1,0,12,34,8,11,7,27,10,29,22,0,4,3,0,0,0,0,0,0,0,0,0,0.3578093333333347,0.3,0.6,0,11,0,0,0,53.43788873565655,0.13333333333333333,2,0,0,0,1
2,885838,Nigéria,1998,3-4-3,press,Espanha,1986,5-2-3,tiki,True,11577,90.10399999999187,1,0,CONSISTENT,1,13,1,1.4580282568443326,201,162,1,2,0,0,3,7,13,5,2,3,2,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0.3819600000000014,0.3,0.3333333333333333,0,2,0,0,0,53.40193657885902,0.13333333333333333,1,0,0,0,0
3,893757,Colômbia,2014,4-2-4,park,Brasil,1994,4-2-3-1,balanced,True,12097,90.00799999999192,3,3,CONSISTENT,6,21,10,3.5353987083245038,186,159,9,8,4,0,7,27,10,12,6,22,7,16,14,0,4,2,0,0,0,0,0,0,0,0,0,0.4375380000000029,0.3,0.6666666666666666,0,7,0,0,7,53.43631643813463,0.13333333333333333,3,0,0,0,3
4,901676,Portugal,1986,4-2-3-1,wings,Alemanha,2026,4-3-3,balanced,True,12158,90.00799999999192,2,1,CONSISTENT,3,18,5,1.506861605603219,192,161,11,10,3,0,8,31,11,13,10,18,5,15,9,4,2,3,1,0,0,0,0,0,0,0,0,0.41478510328311086,0.3,0.6666666666666666,0,6,0,0,0,53.41249927870324,0.13333333333333333,2,0,0,0,1
5,909595,Colômbia,2018,4-3-2-1,tiki,Peru,2022,3-4-3,counter,True,11779,90.32799999999175,3,0,CONSISTENT,3,13,6,1.3860751576796517,195,166,3,5,1,0,7,21,8,7,2,11,4,8,6,0,3,2,0,0,0,0,0,0,0,0,0,0.4142526666666629,0.3,0.3333333333333333,0,3,0,0,0,53.43611922908132,0.13333333333333333,2,0,0,0,1
6,917514,Escócia,1954,4-5-1,tiki,Uruguai,1966,4-3-1-2,wings,True,11783,90.27199999999178,1,0,CONSISTENT,1,12,3,1.9605598285500205,185,165,8,9,1,0,14,41,2,23,9,19,4,13,12,0,2,1,0,0,0,0,0,0,0,0,0,0.3767679999999992,0.3,0.6666666666666666,0,4,0,0,0,53.400392740079724,0.13333333333333333,1,0,0,0,0
7,925433,Rússia,1994,5-3-2,park,Espanha,1982,4-3-3,counter,True,11961,90.02399999999191,0,2,CONSISTENT,2,18,4,3.008928019424703,186,159,13,7,1,0,9,25,7,13,7,25,6,17,13,0,2,3,0,0,0,0,0,0,0,0,0,0.3655580000000016,0.3,0.5666666666666667,0,29,0,0,7,54.334154259569466,0.13333333333333333,1,0,0,0,1
8,933352,Chile,1950,4-1-4-1,wings,Japão,2018,3-5-2,balanced,True,11699,90.35999999999173,1,0,CONSISTENT,1,9,3,1.8801819579752652,198,172,3,7,1,0,0,12,5,6,3,10,5,8,6,0,2,0,0,0,0,0,0,0,0,0,0,0.35938266666666896,0.3,0.6333333333333333,0,4,0,0,0,53.41425297659322,0.13333333333333333,1,0,0,0,0
9,941271,Romênia,1994,4-2-3-1,park,Itália,1954,3-5-2,balanced,True,11784,90.31199999999176,0,1,CONSISTENT,1,16,4,1.928759422473767,199,168,5,8,0,0,10,26,9,11,4,10,6,15,13,0,3,2,0,0,0,0,0,0,0,0,0,0.37189066666666903,0.3,0.6666666666666666,0,4,0,0,0,53.44147709649806,0.13333333333333333,1,0,0,0,0
